BCV_REC_ID,Cust_ID,RETSTAT,ID,FNAME,LNAME,ENAME,SFNAME,SLNAME,PSEX,SSEX,PHS,MSTAT,DOB,SDOB,DOH,DOP,DOTE,DOD,SDOD,CSPA,VSPA,REVIEW_STATUS,DATA_ENTRY_STATUS,T001,D001,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,DOR,SBCD,FORM_CODE_ARD,VPPA,SPC_ARD,MTHS_ARD,LEV_MB_ARD,LS_EST_AMT,LS_EST_DATE,SCI,BCI,PCCI,SCCI,BCCI,BFNAME,BLNAME,BRELATION,BSEX,BDOB,NON_SPOUSE_BENF,POST_DOPT_DOTE,PA_AMB,PAYMENT_ADM_INDICATOR,FORM_CODE_PTP,SPC_PTP
50000,CUST50000,4,1,P50000,SAMPLE,,,,F,,1,U,1955-03-17,,2010-12-27,2011-07-01,2012-10-13,,,10.59,10.81,0,1,NonU,,,88227,81461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,0.00,PBGC,,
50001,CUST50001,4,1,P50001,SAMPLE,,,,M,,1,U,1978-03-10,,2014-12-16,2015-07-01,2020-03-18,,,5.98,6.36,1,1,,,,,,65655,64018,59579,64410,57539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,1.00,,,,,,,,,,,,,,,,,,0.00,,,
50002,CUST50002,4,1,P50002,SAMPLE,,,,F,,2,S,1978-02-21,,1998-09-24,1999-07-01,,,,23.90,23.43,1,0,NonU,,,,,,,,46515,51562,,48468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,G-PCCI-50002,,,,,,,,,,0.00,PLAN,,
50003,CUST50003,2,1,P50003,SAMPLE,JR,,,F,,2,S,1952-04-10,,2012-08-12,2013-07-01,2018-08-18,2010-03-23,,9.14,8.53,0,1,FacU,2010-01-18,97544,86752,83998,92983,92078,,79399,81633,71158,75700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,1.00,,120,,,,,,,,,,,,,,,,490.33,PBGC,,
50004,CUST50004,4,1,P50004,SAMPLE,III,,,F,,0,D,1954-04-23,,2013-07-11,2013-07-01,,,,8.56,7.64,0,1,FacU,,,,,,,,75384,72912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.00,,120,,,,,,G-PCCI-50004,,,,,,,,,2024-01-14,0.00,PBGC,,
50005,CUST50005,1,1,P50005,SAMPLE,JR,S50005,SAMPLE,F,M,0,M,1987-05-27,1986-12-03,2014-02-19,2014-07-01,2021-11-20,,2024-04-22,7.25,7.49,0,0,FacU,1998-01-24,,114374,113195,104089,,94062,97441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.00,,,,,,,,G-PCCI-50005,,,B50005,SAMPLE,DA,M,1995-09-20,Y,,232.84,PLAN,,
50006,CUST50006,2,1,P50006,SAMPLE,III,,,F,,0,D,1990-03-10,,2010-02-01,2010-07-01,2011-06-10,,,10.52,11.13,1,1,,,82701,84847,89497,,79338,72195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,G-PCCI-50006,,,,,,,,,,257.28,PBGC,,
50007,CUST50007,1,1,P50007,SAMPLE,,S50007,SAMPLE,M,F,0,M,1959-05-20,1954-07-19,2021-01-04,2021-07-01,,,,0.77,0.70,0,1,,,,,,,,114595,102515,107033,109378,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-10,,,0.60,,,20.56,,,,,,,,,,,,,,,20.56,PBGC,,
50008,CUST50008,3,1,P50008,SAMPLE,JR,,,M,,0,U,1950-08-12,,2010-08-21,2011-07-01,2016-04-20,,,10.57,10.74,1,0,SecU,2012-11-05,,,,,114789,120590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,510.20,PBGC,,
50009,CUST50009,4,1,P50009,SAMPLE,JR,S50009,SAMPLE,M,F,1,M,1989-02-23,1993-08-16,2020-06-04,2020-07-01,2021-05-08,,,1.24,1.44,0,0,FacU,,,,,105094,103478,113652,105632,108166,105672,93357,99180,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.80,0.75,,,,,,,,,,,,,,,,,0.00,PBGC,,
